category,rating,label,text_,sentiment_score,fre,coherence
Home_and_Kitchen_5,5,1,Easy to use. Seems to be an easy way to make a smoothie for a small person.,0.7003,105.15,1
Home_and_Kitchen_5,2,1,Not what I am accustomed to. The only reason I gave it 4 stars is because I just can,0.0,87.21,1
Home_and_Kitchen_5,5,1,"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has",0.6705,83.32,1
Home_and_Kitchen_5,5,1,So good we bought the second set and they look just like the first one. I am not sure,0.5763,104.13,1
Home_and_Kitchen_5,5,1,Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,0.079,80.28,1
Home_and_Kitchen_5,5,1,Received in no time flat.  I love the look.  My husband likes it too.,0.7003,109.0,1
Home_and_Kitchen_5,3,1,These are okay they are not as nice as the ones I got from my local store but they are,-0.0557,93.48,1
Home_and_Kitchen_5,3,1,gave them away - thought it would be a good addition to my kitchen!  I am very,0.4926,105.66,1
Home_and_Kitchen_5,4,1,"Product is fine, wish it had an option to have a separate handle.",0.5423,75.2,1
Home_and_Kitchen_5,5,1,"Awesome is all I have to say, the materials are good, and the quality is decent.",0.7906,72.16,1
Home_and_Kitchen_5,3,1,Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we,0.0,87.21,1
Home_and_Kitchen_5,5,1,"Well made, works great.  We have had the wooden part of the cup for a couple of",0.7351,105.15,1
Home_and_Kitchen_5,5,1,Bought these to go with my old suction cups. I also love that they are removable and,0.6369,96.69,1
Home_and_Kitchen_5,5,1,Just as expected! Looks great and has the design to make it a nice place for the baby to,0.8016,95.67,1
Home_and_Kitchen_5,1,1,"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a",-0.7717,55.4,1
Home_and_Kitchen_5,5,1,Does a great job of keeping the suction on. I also love that it doesn't slide.,0.8519,88.74,1
Home_and_Kitchen_5,2,1,"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
",0.4215,102.61,1
Home_and_Kitchen_5,5,1,Save $ on these instead of the original shipping box. I will keep my money!Very pretty.,0.8398,80.78,1
Home_and_Kitchen_5,5,1,"These towels are real nice, and I love the feel of them.  They have a nice feel",0.8689,105.15,1
Home_and_Kitchen_5,5,1,"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty",0.9571,97.7,1
Home_and_Kitchen_5,3,1,"Alright for the price,but was a little disappointed with the quality of the product.",-0.204,57.27,1
Home_and_Kitchen_5,4,1,"Great quality, beautiful color.  We have had the same one for a few months now and love",0.9217,88.23,1
Home_and_Kitchen_5,1,1,I put paper in one corner of the cabinet and put a piece of paper in the other corner.,0.0,69.11,1
Home_and_Kitchen_5,5,1,Great stickers but a little small. The only reason I gave it 4 stars is because the one in,0.3716,87.21,1
Home_and_Kitchen_5,5,1,Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee,0.8481,96.18,1
Home_and_Kitchen_5,5,1,Perfect. They do exactly what I need them to do. I will keep them for a long time,0.5719,96.18,1
Home_and_Kitchen_5,5,1,Love this movie & the time it took to finish. I will keep my review for the next time,0.6369,104.64,1
Home_and_Kitchen_5,1,1,"Will not seal properly. Atrocious little ones, they feel like they will break if you throw",0.3612,88.74,1
Home_and_Kitchen_5,5,1,Got these for the third time.  I have a small dog and my son loves to throw them,0.5719,113.1,1
Home_and_Kitchen_5,5,1,Excellent product and a much better quality than the one you get at Walmart for $50.,0.765,72.16,1
Home_and_Kitchen_5,5,0,"These are just perfect, exactly what I was looking for.",0.5719,78.25,1
Home_and_Kitchen_5,5,0,Such a great purchase can't beat it for the price,0.6249,103.63,1
Home_and_Kitchen_5,5,0,What can you say--- cheap and it works as intended.,0.0,95.17,1
Home_and_Kitchen_5,5,0,"These are so nice, sturdy, like the color choices too.",0.7491,86.71,1
Home_and_Kitchen_5,5,0,It is nice bowl and have had a fast shipping!,0.4753,103.63,1
Home_and_Kitchen_5,5,0,Great cup. Will last forever. Keeps things cool / warm.,0.8074,100.75,1
Home_and_Kitchen_5,5,0,"Love them, just thought they would be a bit bigger!",0.6696,103.63,1
Home_and_Kitchen_5,5,0,Excellent quality product. Perfect for my ccozinha.,0.8126,8.7,1
Home_and_Kitchen_5,5,0,This fan is really pretty and I actually use it.,0.6997,61.33,1
Home_and_Kitchen_5,1,0,"Super rough, not soft wash cloths, more like bar towels",0.7713,95.17,1
Home_and_Kitchen_5,5,0,Like this little guy. Use it often. He is small.,0.3612,101.97,1
Home_and_Kitchen_5,5,0,Perfect size .easy to unfold. Topremoves for storage. Love this.,0.8957,83.32,1
Home_and_Kitchen_5,1,0,Does not do a very good job; difficult to use.,-0.6582,95.17,1
Home_and_Kitchen_5,5,0,frame was beautifully crafted and looks great with my picture.,0.8316,69.79,1
Home_and_Kitchen_5,5,0,My hot cocoa is finally perfect! This product is fabulous,0.8122,57.94,1
Home_and_Kitchen_5,5,0,i bought this for a friend and he loves it.,0.7845,112.09,1
Home_and_Kitchen_5,5,0,Very soft and great quality for such a low price!,0.5508,95.17,1
Home_and_Kitchen_5,5,0,Purchased as a Christmas gift.  She will love it.,0.7964,100.75,1
Home_and_Kitchen_5,5,0,"accurate description, works great, came on time, i'm very happy!",0.855,69.79,1
Home_and_Kitchen_5,5,0,Use it in my Duvet cover. Fluffy and perfect fit!,0.7574,91.78,1
Home_and_Kitchen_5,5,0,One of the softest blankets ever. So nice and cozy.,0.4754,91.78,1
Home_and_Kitchen_5,5,0,"Smells great, and the fine mist dries quickly. My favorite.",0.836,95.17,1
Home_and_Kitchen_5,5,0,Exactly what I was expecting. perfect curtains for my bedroom.,0.5719,57.94,1
Home_and_Kitchen_5,4,0,Just what I wanted to hang my pants and skirts.,0.0,103.63,1
Home_and_Kitchen_5,3,0,"It's kind of small, we were looking for something larger.",0.0,86.71,1
Home_and_Kitchen_5,4,0,A little pricey for what it is.,0.0,106.67,1
Home_and_Kitchen_5,5,0,works great & the charge kept up all day long,0.6249,113.1,1
Home_and_Kitchen_5,5,0,This is a nice quality frame at a good price,0.6908,95.17,1
Home_and_Kitchen_5,3,0,"Does the job, but nothing special. Not hard to install.",-0.4965,91.78,1
Home_and_Kitchen_5,5,0,Item as described and arrived in a timely manner.,0.0,79.26,1
Home_and_Kitchen_5,3,0,Bought 2 and sent one back because it didn't work,0.0,95.17,1
Home_and_Kitchen_5,5,0,"Made well holds all my make brushes, pencils, mascara etc.",0.2732,86.71,1
Home_and_Kitchen_5,1,0,"sheds all over, would not buy it ever again. blanket.",0.0,95.17,1
Home_and_Kitchen_5,5,0,"Works great, it's Pyrex, I'd expect nothing less from them.",0.6249,95.17,1
Home_and_Kitchen_5,5,0,"we like this little opener, real easy on my hands.",0.6293,86.71,1
Home_and_Kitchen_5,5,0,Perfect. Love everything about them. Look great in my kitchen.,0.9186,91.78,1
Home_and_Kitchen_5,5,0,air tight and it works great glad i got it,0.7964,112.09,1
Home_and_Kitchen_5,5,0,Very cute and good quality fabric. Zippers worked well too.,0.8204,83.32,1
Home_and_Kitchen_5,5,0,These were great to send my grandkids their Halloween treats,0.6249,95.17,1
Home_and_Kitchen_5,5,0,Save a ton by using these instead of paper towels!,0.5411,78.25,1
Home_and_Kitchen_5,2,0,These are so weak. They barely bring in any air.,-0.5777,108.7,1
Home_and_Kitchen_5,5,0,"Great set of glasses!  Good quality, comfortable to handle.",0.8908,58.45,1
Home_and_Kitchen_5,4,0,It feels cool to the touch but is super hard.,0.7506,103.63,1
Home_and_Kitchen_5,5,0,"So cute, made well my grand daughter will love this.",0.9162,103.63,1
Home_and_Kitchen_5,5,0,Works as expected for connecting CCTV power supply to cameras.,0.0,52.87,1
Home_and_Kitchen_5,5,0,Very Soft ! Definitely better quality than I was expecting.,0.7531,36.96,1
Home_and_Kitchen_5,5,0,Nice and contemporary. Great for the price. Easy to assemble.,0.8689,76.59,1
Home_and_Kitchen_5,5,0,Super cute and appears to be great quality! Highly recommend!,0.9369,52.87,1
Home_and_Kitchen_5,5,0,These are really cool actually.  My boyfriend loved them.,0.7574,66.91,1
Home_and_Kitchen_5,5,0,Bought as a gift for a cousin.  Very nice.,0.7178,113.1,1
Home_and_Kitchen_5,1,0,Stopped working after one use still waiting on my refund,-0.2263,78.25,1
Home_and_Kitchen_5,4,0,cute and reasonably price. I am happy with my purchase.,0.7717,83.32,1
Home_and_Kitchen_5,5,0,Well received and comfortable. Gave as gift to dialysis patient.,0.8074,66.4,1
Home_and_Kitchen_5,2,0,"do not expected to be so poor on quality ,",-0.6113,79.26,1
Home_and_Kitchen_5,5,0,Easy to review. The kid DDS love them!  Thanks,0.8832,109.21,1
Home_and_Kitchen_5,3,1,"Really ruff under your feet, it feels very sturdy. I will keep my feet in the chair",0.0,96.69,1
Home_and_Kitchen_5,5,1,Order to place special photos on the wall.  We've had it for a couple of weeks and,0.4019,96.69,1
Home_and_Kitchen_5,5,1,"baby like it! Thermal insulation helps to keep the food warmer.

The thermal insulation helps keep",0.8478,66.1,1
Home_and_Kitchen_5,4,1,"I like it, just wish it had more wide opening. I also love that it's been made",0.8555,105.15,1
Home_and_Kitchen_5,5,1,I love pyrex quality and this set is the best. I will be purchasing more in the future,0.8555,87.72,1
Home_and_Kitchen_5,5,1,"Perfect for additional storage and convenience. The only problem is that it's not really a vacuum, but",0.128,45.93,1
Home_and_Kitchen_5,5,1,These smell great! I'm pretty happy with the quality and quality of this product!This is a,0.9115,74.56,1
Home_and_Kitchen_5,2,1,The turquoise is almost neon. It's a very bright pink.,0.4927,108.7,1
Home_and_Kitchen_5,5,1,"Easy to hold, and the material is nice and thick. I will keep my shelves in order and",0.6908,96.18,1
Home_and_Kitchen_5,5,1,"Works great for chocolate, yogurt, or any other fruit. I also love that it's removable and",0.8519,80.28,1
Home_and_Kitchen_5,5,1,Love it. I think I will buy more.Very nice set of knives!  I have one,0.807,117.16,1
Home_and_Kitchen_5,5,1,Nice small ottoman that does what it should.  Not too big or too small.,0.4215,106.67,1
Home_and_Kitchen_5,5,1,they look great in my kitchen. The only problem is that it's kind of hard to put the,0.1796,104.64,1
Home_and_Kitchen_5,5,1,Bought this as a Father's Day gift and it's just what I needed!  I love,0.8122,98.55,1
Home_and_Kitchen_5,5,1,"Great for winter months, very soft and comfortable.  I've slept on this for about a week",0.8255,97.2,1
Home_and_Kitchen_5,3,1,Nice soft sheets but I find it difficult to put them on a bed that is too warm and doesn,0.0,93.48,1
Home_and_Kitchen_5,5,1,"This is a beautifully made, sturdy, and very comfortable chair.  It is very comfortable and functional",0.8976,63.36,1
Home_and_Kitchen_5,3,1,Need to buy two to go with the wide wooden legs of the bedding. I have one in,0.0,104.64,1
Home_and_Kitchen_5,5,1,Very nice and sturdy. I use it as a long-term storage container for my small bags of,0.4754,96.69,1
Home_and_Kitchen_5,5,1,"Just as good as original-type containers, the wooden handle is smooth and solid, the handle fits",0.5423,63.7,1
Home_and_Kitchen_5,5,1,"Excellent, the grill looks very nice. The only problem is that it's not really a vacuum,",0.624,71.82,1
Home_and_Kitchen_5,5,1,"Nice large, sturdy canvas tote, and it's lightweight and comfortable.",0.7269,69.79,1
Home_and_Kitchen_5,5,1,Good quality and good price. I love the look and feel of this pillow.,0.875,98.21,1
Home_and_Kitchen_5,1,1,"I ordered the light blue, and it arrived with a very small opening.  The yellow was just",0.0,96.69,1
Home_and_Kitchen_5,5,1,Purchased as a gift!  We have had this one for two months now and it's,0.4926,106.16,1
Home_and_Kitchen_5,5,1,Very good price for product!I have had this for a few months now and have used it every,0.54,96.18,1
Home_and_Kitchen_5,5,1,"Gets all the shampoo &/or conditioner you want, and I will keep my shower in",0.0772,81.63,1
Home_and_Kitchen_5,5,1,This is a mini-chair! Not a real chair. It is a full chair that is comfortable,0.5562,99.94,1
Home_and_Kitchen_5,5,1,Happy with my purchase.  We have had the same mattress for a few months now and this one,0.5719,96.18,1
Home_and_Kitchen_5,5,1,Works great to keep light on. The only problem is that it's kind of hard to put the,0.1796,104.64,1
Home_and_Kitchen_5,5,1,"Bought for son in college, and he loves it!Very good quality.",0.784,91.27,1
Home_and_Kitchen_5,1,1,"Terrible, complete waste of money. Not a whole lot to say.",-0.7096,82.81,1
Home_and_Kitchen_5,4,1,It looks very nice in my bedroom and the materials are good.  I have a large one and,0.7178,96.18,1
Home_and_Kitchen_5,5,1,Easy to put together and looks nice and the finish is good.  I have a large one and,0.8225,96.18,1
Home_and_Kitchen_5,5,1,Just what I expected!!! Made a real difference in the quality of my kitchen!This is a pretty,0.6562,74.15,1
Home_and_Kitchen_5,5,1,"I'm so glad I got this set, as it is a great deal for the price! ",0.8264,106.0,1
Home_and_Kitchen_5,5,1,"Do the job, are adorable, and have the quality to make them a nice addition to the kitchen",0.7184,87.05,1
Home_and_Kitchen_5,2,1,Too much work.  This is an easy way to make a smoothie that is perfect for the,0.765,105.15,1
Home_and_Kitchen_5,3,1,Just okay. Did not fit my containers well. We love this blanket.,0.7261,90.77,1
Home_and_Kitchen_5,5,1,"As far as little plastic, it's fine, but I'm not sure how well it will hold",-0.5261,97.54,1
Home_and_Kitchen_5,5,1,"So nice, was a gift for a friend. We love this blanket.",0.9281,107.69,1
Home_and_Kitchen_5,4,1,Skinnier than I thought. But it has the quality and design of a lot of other products,0.0,79.77,1
Home_and_Kitchen_5,5,1,Very quick shipping and excellent customer service.  Great value for the money!This is a great little,0.9392,74.56,1
Home_and_Kitchen_5,5,1,"Works great, this design makes it easy to hang and it is a nice size for the size of",0.8689,94.49,1
Home_and_Kitchen_5,5,1,Perfect! Works in your oven and has the right height. I also love that it's removable and,0.8478,96.69,1
Home_and_Kitchen_5,5,1,"Service was great, can't wait to try it out!Very good quality.",0.807,82.81,1
Home_and_Kitchen_5,5,1,Arrived quickly and is the perfect size for the long haul.  I also have a large one,0.5719,96.69,1
Home_and_Kitchen_5,1,1,"CHEAP CHINA.  Not a big deal, but it is a little pricey for a",0.0,99.57,1
Home_and_Kitchen_5,4,1,Gave to Mother as a gift. The quality is good but it's not really the best one,-0.4517,88.23,1
Home_and_Kitchen_5,3,1,"Great for spices but not for anything else.  Not good enough.Nice, sturdy, and functional",-0.1429,83.62,1
Home_and_Kitchen_5,1,0,My car smells no different after 3 weeks.  Snake oil.,-0.296,86.71,1
Home_and_Kitchen_5,5,0,This pillow cushion is well constructed and easily washed. Very comfortable.,0.796,51.85,1
Home_and_Kitchen_5,5,0,Haven't used the big ones but the small ones work great!,0.7871,111.07,1
Home_and_Kitchen_5,5,0,Takes out the mystery of when my meat is finished cooking,0.0,85.69,1
Home_and_Kitchen_5,3,0,Its nice to have an organizer large enough for the utensils.,0.4215,77.23,1
Home_and_Kitchen_5,5,0,Works perfectly.  Easy to put in your art and hang.,0.7964,95.17,1
Home_and_Kitchen_5,5,0,Great little rug!  I'd buy it again in different colors.,0.6588,83.32,1
Home_and_Kitchen_5,4,0,Holds some gift wrap but not longer tubes which is disappointing.,-0.5187,85.69,1
Home_and_Kitchen_5,4,0,Belts never last long enough but this seems to work okay.,0.3291,102.61,1
Home_and_Kitchen_5,5,0,"Such a great price, less expensive than renting & great quality",0.8481,69.79,1
Home_and_Kitchen_5,4,0,Good for the price but doesn't soften up much after washing,0.2382,77.23,1
Home_and_Kitchen_5,5,0,I love these sheets!!!!  Goes great with my star quilts,0.8877,117.16,1
Home_and_Kitchen_5,5,0,Great mug - bigger than I thought it would be too!,0.6588,103.63,1
Home_and_Kitchen_5,5,0,I gave this as a gift and my daughter loves hers.,0.765,102.61,1
Home_and_Kitchen_5,5,0,These are great!  Great space saver in our laundry room!,0.8684,108.7,1
Home_and_Kitchen_5,5,0,Very flexible leading edge not quite as helpful under all conditions.,-0.0887,60.31,1
Home_and_Kitchen_5,1,0,bottom will not stay on.....zero customer service  do not buy,0.0,83.32,1
Home_and_Kitchen_5,4,0,"Very nice, elegant glass and does improve the taste of wine.",0.8545,85.69,1
Home_and_Kitchen_5,5,0,excellent product if you are a side sleeper this is perfect,0.8126,68.77,1
Home_and_Kitchen_5,5,0,When there not in the oven they make great place mats,0.6249,111.07,1
Home_and_Kitchen_5,5,0,love it  it is so cute in my new bathroom,0.8429,103.63,1
Home_and_Kitchen_5,5,0,Exactly as pictured! Sturdy and perfect for baking and cooking needs!,0.6467,65.89,1
Home_and_Kitchen_5,5,0,Top notch artistry done on this bust from grand jesters studios.,0.5859,102.61,1
Home_and_Kitchen_5,5,0,Love these and I get many comments on this spoon :-),0.7579,103.63,1
Home_and_Kitchen_5,5,0,"Did not expect this table to  be this nice, Thanks",0.7311,95.17,1
Home_and_Kitchen_5,5,0,Great product. Arrived on time and matched my shower curtain perfectly.,0.8519,68.77,1
Home_and_Kitchen_5,5,0,a nice secondary vacuum for small apartments and reaching tight areas,0.5574,68.77,1
Home_and_Kitchen_5,5,0,"Good size, good value for money. Looks great in my bar.",0.9062,99.73,1
Home_and_Kitchen_5,3,0,"Somewhat hard to clean, not as convenient as I had hoped.",0.6032,85.69,1
Home_and_Kitchen_5,5,0,Works Great with all my battery candles of the same brand.,0.6249,94.15,1
Home_and_Kitchen_5,3,0,Ok pillow kind of too hard and firm not very soft,0.2023,102.61,1
Home_and_Kitchen_5,5,0,"Perfection. Beyond easy to use, minimal effort, fast and perfect froth.",0.8834,60.31,1
Home_and_Kitchen_5,5,0,Love this item. I smile every time I I use it,0.7717,108.19,1
Home_and_Kitchen_5,5,0,Fleece blanket is cozy warm. It was exactly what I wanted.,0.2263,82.81,1
Home_and_Kitchen_5,3,0,Noticed today top I'd bubbling up where a glass was set,0.2023,85.69,1
Home_and_Kitchen_5,3,0,Great for weighing in lbs and oz not grams. Fast shipping.,0.6249,94.15,1
Home_and_Kitchen_5,5,0,These were great. I just had to order a longer size.,0.6249,108.19,1
Home_and_Kitchen_5,5,0,Nice sticks; used these for almost every meal; good for PHO.,0.6637,94.15,1
Home_and_Kitchen_5,5,0,This is one of the best things I have ever bought,0.6369,102.61,1
Home_and_Kitchen_5,4,0,Love it but too small.  Would love in larger size,0.8555,108.7,1
Home_and_Kitchen_5,5,0,"Perfect for my candy buffet, and it will certainly be multipurpose.",0.7269,51.85,1
Home_and_Kitchen_5,5,0,Works perfect. Use this for my EV cord in the garage,0.5719,102.61,1
Home_and_Kitchen_5,1,0,Do not waste your money.  It broke after one month.,-0.12,100.24,1
Home_and_Kitchen_5,4,0,"A little tacky, but on the shelf in the spare bathroom.",0.0,94.15,1
Home_and_Kitchen_5,3,0,Helps cool my memory mattress a little but not a lot.,0.3506,77.23,1
Home_and_Kitchen_5,5,0,This is perfect. I wish I would have ordered it earlier.,0.7506,82.81,1
Home_and_Kitchen_5,5,0,"Excellent packaging, Fast shipping , super quality for the right price.",0.8225,44.41,1
Home_and_Kitchen_5,4,0,Good mix - my favorite is still the Goloka Nag Champa,0.5267,86.71,1
Home_and_Kitchen_5,5,0,Just what the bride wanted came out nice with the engraving.,0.4215,85.69,1
Home_and_Kitchen_5,4,0,"The color slightly different than I got,the website pictures looks better.",0.4404,51.85,1
Home_and_Kitchen_5,5,1,"Really great, soft and warm. I love the feel of this blanket.",0.8883,90.77,1
Home_and_Kitchen_5,1,1,"LESS THEN 1 YEAR OLD, BUT NO MORE!!  I've had mine for 2 months now",-0.6687,114.62,1
Home_and_Kitchen_5,5,1,"It's a pint. And it's a pint, too.

It's also a pint",0.0,109.72,1
Home_and_Kitchen_5,5,1,Perfect for what I needed. I love the look and feel of this pillow.,0.836,98.21,1
Home_and_Kitchen_5,5,1,Bought this just to pick up an old mattress and it was a nice piece of equipment.,0.4215,96.52,1
Home_and_Kitchen_5,2,1,the plastic rings either gone or destroyed the pieces.  I will keep my old ones as gifts.,-0.4939,96.69,1
Home_and_Kitchen_5,4,1,"Nice just more trouble then it looks, the finish is a bit thin, not the best quality.",-0.5516,88.06,1
Home_and_Kitchen_5,5,1,Great Seller. Item just like it.Great quality and just what I needed for my kitchen!,0.784,89.24,1
Home_and_Kitchen_5,5,1,Very cute. Go with what you have. Not too big or too small.,0.5095,115.64,1
Home_and_Kitchen_5,5,1,looks high end and feels nice. The only problem is that it's kind of hard to put,-0.1513,105.15,1
Home_and_Kitchen_5,5,1,"This mug is VERY nice.  I love the look and feel of it, and the size and",0.875,113.61,1
Home_and_Kitchen_5,4,1,It works really well it looks great and the materials are good.  I have a large one and,0.8553,87.72,1
Home_and_Kitchen_5,5,1,Ordered this as a gift and it arrived on time. I will keep my review for the next,0.4404,96.18,1
Home_and_Kitchen_5,4,1,Beautiful calming light. Not sure what it is. We love this blanket.,0.8701,92.8,1
Home_and_Kitchen_5,1,1,I like the clock although it has the design flaw which is that it is a little hard to read,0.3384,85.02,1
Home_and_Kitchen_5,5,1,Exactly as advertised. Better quality than the original. We love this blanket.,0.8555,50.5,1
Home_and_Kitchen_5,5,1,Perfect solution to sorting his messes and the tools. I also love that it's removable and can,0.8807,71.31,1
Home_and_Kitchen_5,5,1,"very cute item, going to go with the wide wooden legs for a nice dinner table.",0.7264,80.62,1
Home_and_Kitchen_5,4,1,Beautious!  The perfect wall clock.  It's a good size and looks great in my,0.8999,106.67,1
Home_and_Kitchen_5,2,1,Just OK. Am buying a second set.I love these containers.  They work well and look,0.8494,91.78,1
Home_and_Kitchen_5,5,1,Great comforter especially when you are on the go.  I will keep my shelves in order,0.7906,88.74,1
Home_and_Kitchen_5,5,1,"It's nice, fit just right, and the quality is good.

The only reason I",0.802,89.75,1
Home_and_Kitchen_5,5,1,These are very nice mugs.  They are very long and fit nicely on my shelves.,0.8297,106.16,1
Home_and_Kitchen_5,5,1,Easy to assemble.  Arrived on time and as described.  My husband and I have been,0.4404,91.78,1
Home_and_Kitchen_5,5,1,I bought one for my daughter and it was very comfortable.  She also loves the way the bed,0.807,96.18,1
Home_and_Kitchen_5,5,1,Wife love s it. Packed it with the pieces and it was perfect.,0.836,107.18,1
Home_and_Kitchen_5,5,1,I love CrockPots that is perfect for the wide variety of containers.,0.836,67.76,1
Home_and_Kitchen_5,5,1,I hang it myself and it looks nice.  I've also used it for a few hours.,0.4215,105.66,1
Home_and_Kitchen_5,5,1,"Using my second set of glasses, I thought they would be a nice addition to the kitchen. ",0.4215,79.6,1
Home_and_Kitchen_5,5,1,Big mirror that fits perfectly into my cabinet.  I've also used this for a few years.,0.6369,80.28,1
Home_and_Kitchen_5,4,1,Pretty good!  quite a few of the pieces are just too small.  I would recommend them,0.8356,97.2,1
Home_and_Kitchen_5,5,1,This is the second one that I have bought and it is a nice piece of equipment.,0.4215,96.52,1
Home_and_Kitchen_5,5,1,"Perfect size for hanging wreath, an easy to use and efficient way to make a small wreath",0.8555,88.06,1
Home_and_Kitchen_5,5,1,"I ADORE these bowls, can't wait to make the next batch of cold drinks!This is",0.6833,107.01,1
Home_and_Kitchen_5,5,1,They work great. I also use it as a measuring cup for measuring cupcakes.,0.6249,81.29,1
Home_and_Kitchen_5,5,1,Nice fit in the hand.  I love the feel of the fabric.  The colors are just,0.9136,108.4,1
Home_and_Kitchen_5,4,1,Great for the price!  We have had this for a few months now and have used it every,0.6588,104.64,1
Home_and_Kitchen_5,5,1,I bought these for bottling wine.  I love them.  I also like the fact that,0.7717,108.7,1
Home_and_Kitchen_5,5,1,Good padding and nice quality.  I love the feel of the fabric.  I would buy again,0.872,91.48,1
Home_and_Kitchen_5,5,1,I love this popcorn machine!  I love the popcorn and I will keep my popcorn in this one,0.8655,96.18,1
Home_and_Kitchen_5,3,1,Nice but the size of the containers is a little small for a cup of tea.Very pretty.,0.7351,79.6,1
Home_and_Kitchen_5,5,1,Much easier to use Can't go wrong with this product. I will keep my review for the next,0.6546,96.18,1
Home_and_Kitchen_5,5,1,Great can opener that looks nice on the countertop. I will keep my opener in the drawer.,0.7845,88.23,1
Home_and_Kitchen_5,5,1,"love it, just wish the handle was more wide. Very good quality.",0.8849,90.77,1
Home_and_Kitchen_5,1,1,seems to have a defective seal. The only way to fix it is to just throw the container,-0.4404,87.72,1
Home_and_Kitchen_5,4,1,works great. But boy do I love the fact that you can't just turn it off and off,0.8537,103.97,1
Home_and_Kitchen_5,5,1,"These are sturdy, snap into place, and are very comfortable.

The only reason I gave",0.5563,80.78,1
Home_and_Kitchen_5,5,1,"These have worked out so well. The only problem is that they are small, and the one I",0.0107,104.64,1
Home_and_Kitchen_5,5,0,"Great color and feel, very soft and great price.
I would recommend it.",0.8993,98.72,1
Home_and_Kitchen_5,4,0,Very small but works if you don't have a lot of space.,0.0,110.06,1
Home_and_Kitchen_5,1,0,Burns the hell out of my hands. Doesn't work at high temps,-0.6808,107.69,1
Home_and_Kitchen_5,5,0,Works so fast. replaced the one I broke.,-0.4215,109.72,1
Home_and_Kitchen_5,5,0,This shower curtain is beautiful. Nice fabric. Looks great in my bathroom.,0.8957,73.85,1
Home_and_Kitchen_5,4,0,Use it at work with our staff of 5. Holding up well.,0.2732,107.69,1
Home_and_Kitchen_5,5,0,Great mug! Husband says it is one of his favorites.,0.8016,95.17,1
Home_and_Kitchen_5,5,0,Worked out great for the small space I had in my closet!,0.6588,101.6,1
